Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,,EVENT[Sponsors],Event[Publisher]
International Conference on Neural Information Processing,2018,ICONIP 2018,ICONIP,13-Dec-2018,16-Dec-2018,575,401,69.74%,Siem Reap,,Cambodia,Neural Information Processing,Conference, https://conference.cs.cityu.edu.hk/iconip/,,,APNNS,Springer
International Conference on Neural Information Processing,2017,ICONIP 2017,ICONIP,14-Oct-2017,18-Oct-2017,856,563,65.77%,Guangzhou,,China,Neural Information Processing,Conference,http://www.apnns.org/ICONIP2017/,,,JAS,Springer
International Conference on Neural Information Processing,2016,ICONIP 2016,ICONIP,16-Oct-2016,21-Oct-2016,431,296,68.68%,Kyoto,,Japan,Neural Information Processing,Conference,https://www.springer.com/de/book/9783319466804,,,KDDI,Springer
International Conference on Neural Information Processing,2015,ICONIP 2015,ICONIP,9-Nov-2015,12-Nov-2015,375,231,61.60%,Istanbul,,Turkey,Neural Information Processing,Conference,https://www.springer.com/de/book/9783319265544,,,APNNS,Springer
International Conference on Neural Information Processing,2014,ICONIP 2014,ICONIP,3-Nov-2014,6-Nov-2014,375,231,61.60%,Kuching,,Malaysia,Neural Information Processing,Conference,https://www.springer.com/de/book/9783319126364,,,APNNS,Springer
International Conference on Neural Information Processing,2013,ICONIP 2013,ICONIP,3-Nov-2013,7-Nov-2013,,180,,"Daegu,",,Korea,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,APNNS,Springer
International Conference on Neural Information Processing,2012,ICONIP 2012,ICONIP,12-Nov-2012,15-Nov-2012,,400,,Doha,,Qatar,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,APNNS,Springer
International Conference on Neural Information Processing,2011,ICONIP 2011,ICONIP,13-Nov-2011,17-Nov-2011,,262,,Shangai,,China,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,APNNS,Springer
International Conference on Neural Information Processing,2010,ICONIP 2010,ICONIP,22-Nov-2010,25-Nov-2010,470,146,31.06%,sydney,,Australia,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,,Springer
International Conference on Neural Information Processing,2009,ICONIP 2009,ICONIP,1-Dec-2009,5-Dec-2009,466,145,31.12%,Bangkok,,Thailand,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,,Springer
International Conference on Neural Information Processing,2008,ICONIP 2008,ICONIP,25-Nov-2008,28-Nov-2008,400,260,65.00%,Auckland,,New Zealand,Neural Information Processing,Conference,https://link.springer.com/book/10.1007/978-3-642-02490-0,,,,Springer
International Conference on Neural Information Processing,2007,ICONIP 2007,ICONIP,13-Nov-2007,16-Nov-2007,288,228,79.17%,Kitakyushu,,Japan,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,,Springer
International Conference on Neural Information Processing,2006,ICONIP 2006,ICONIP,3-Oct-2006,6-Oct-2006,1175,386,33%,Hong kong,,China,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,,Springer
International Conference on Neural Information Processing,2005,ICONIP 2005,ICONIP,30-Oct-2005,2-Nov-2005,,,,Taipei,,Taiwan,Neural Information Processing,Conference,https://books.google.de/books/about/Proceedings.html?id=jKC5PgAACAAJ&redir_esc=y,,,,Springer
International Conference on Neural Information Processing,2004,ICONIP 2004,ICONIP,22-Nov-2004,25-Nov-2004,470,210,44.68%,Calcutta,,India,Neural Information Processing,Conference,https://dblp.org/db/conf/iconip/index,,,,Springer
International Conference on Neural Information Processing,2003,ICONIP 2003,ICONIP,26-Jun-2003,29-Jun-2003,346,138,39.88%,Istanbul ,,Turkey,Neural Information Processing,Conference,https://link.springer.com/conference/iconip,,,,Springer
International Conference on Neural Information Processing,2002,ICONIP 2002,ICONIP,18-Nov-2002,22-Nov-2002,,,,Singapore,,Singapore,Neural Information Processing,Conference,https://books.google.de/books/about/Proceedings.html?id=jKC5PgAACAAJ&redir_esc=y,,,,Springer
International Conference on Neural Information Processing,2001,ICONIP 2001,ICONIP,14-Nov-2001,18-Nov-2001,,,,Shanghai,,China,Neural Information Processing,Conference,https://dblp.org/db/conf/iconip/index,,,,Springer
International Conference on Neural Information Processing,2000,ICONIP 2000,ICONIP,14-Nov-2000,18-Nov-2000,,,,Teajon,,Korea,Neural Information Processing,Conference,https://dblp.org/db/conf/iconip/index,,,,Springer
International Conference on Neural Information Processing,1999,ICONIP 1999,ICONIP,16-Nov-1999,20-Nov-1999,,,,Perth,,Australia,Neural Information Processing,Conference,https://dblp.org/db/conf/iconip/index,,,,Springer
International Conference on Neural Information Processing,1998,ICONIP 1998,ICONIP,21-Oct-1998,23-Oct-1998,,,,Kitakyushu,,Japan,Neural Information Processing,Conference,https://dblp.org/db/conf/iconip/index,,,,Springer
International Conference on Neural Information Processing,1997,ICONIP 1997,ICONIP,18-Nov-1997,21-Nov-1997,,,,Dunedin,,New Zealand,Neural Information Processing,Conference,https://dblp.org/db/conf/iconip/index,,,,Springer
