Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted paper],Event[Accepted paper],Event[submission Rate],Event[city],Event[state],Event[country],Event[Field],Event[Type],Event[Homepage],,EVENT[PUBLISHER],Event[Sponsor]
International Conference on Web Engineering,2018,ICWE 2018,ICWE,5-Jun-2018,8-Jun-2018,57,18,31%,Caceres,,Spain,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Springer
International Conference on Web Engineering,2017,ICWE 2017,ICWE,5-Jun-2017,8-Jun-2017,139,20,14.39%,Rome,,Italy,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Springer
International Conference on Web Engineering,2016,ICWE 2016,ICWE,6-Jun-2016,9-Jun-2016,125,19,21%,Lugano,,Switzerland,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Springer
International Conference on Web Engineering,2015,ICWE 2015,ICWE,23-Jun-2015,26-Jun-2015,110,26,24%,Rotterdam,,Netherland,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Google
International Conference on Web Engineering,2014,ICWE 2014,ICWE,1-Jul-2014,4-Jul-2014,100,20,0.2,Toulouse,,France,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Google
International Conference on Web Engineering,2013,ICWE 2013,ICWE,8-Jul-2013,12-Jul-2013,92,21,22.83%,Aalborg,,Denmark,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,SIGCHI
International Conference on Web Engineering,2012,ICWE 2012,ICWE,23-Jul-2012,27-Jul-2012,98,20,20.41%,Berlin,,Germany,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Otto Monsted
International Conference on Web Engineering,2011,ICWE 2011,ICWE,20-Jun-2011,24-Jun-2011,90,22,24.44%,Paphos,,Cyprus,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,SPARx
International Conference on Web Engineering,2010,ICWE 2010,ICWE,5-Jul-2010,9-Jul-2010,120,26,21.67%,Vienna,,Austria,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Springer
International Conference on Web Engineering,2009,ICWE 2009,ICWE,24-Jun-2009,6-Jun-2009,90,22,35.09%,San Sebastian,,Spain,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,Siemens
International Conference on Web Engineering,2008,ICWE 2008,ICWE,14-Jul-2008,18-Jul-2008,57,20,34%,Yorktown Heights,Newyork,USA,Web engineering,Conference,http://dblp.org/db/conf/icwe/,,IEEE,
International Conference on Web Engineering,2007,ICWE 2007,ICWE,16-Jul-2007,20-Jul-2007,172,39,22.67%,Como,,Italy,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,
International Conference on Web Engineering,2006,ICWE 2006,ICWE,11-Jul-2006,14-Jul-2006,103,44,43%,Palo Alto,California,USA,Web engineering,Conference,http://dblp.org/db/conf/icwe/,,IEEE,
International Conference on Web Engineering,2005,ICWE 2005,ICWE,27-Jul-2005,29-Jul-2005,,,,sydney,,Australia,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,
International Conference on Web Engineering,2004,ICWE 2004,ICWE,26-Jul-2004,30-Jul-2004,204,25,12%,Munich,,Germany,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,
International Conference on Web Engineering,2003,ICWE 2003,ICWE,14-Jul-2003,18-Jul-2003,190,25,13%,Oviedo,,Spain,Web engineering,Conference,https://link.springer.com/conference/icwe,,IEEE,
International Conference on Web Engineering,2002,ICWE 2002,ICWE,,,,,,SantaFe,,Argentina,Web engineering,Conference,http://dblp.org/db/conf/icwe/,,IEEE,
International Conference on Web Engineering,2001,ICWE 2001,ICWE,,,,,,Caceres,,Spain,Web engineering,Conference,http://dblp.org/db/conf/icwe/,,IEEE,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
