Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Acceptance Rate],Event[Accepted papers],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],Event[Sponsor],,,,,,,,,,
11th ACM International Conference on Web Search and Data Mining,2018,WSDM 2018,WSDM,5-Feb-2018,8/2/2018,,,,Los Angeles,California,USA,Web,Conference,www.wsdm-conference.org/2018/,ACM,Microsoft,,,,,,,,,,
10th ACM International Conference on Web Search and Data Mining,2017,WSDM 2017,WSDM,6-Feb-2017,10/2/2017,505,80,15.8%,Cambridge,,UK,Web,Conference,www.wsdm-conference.org/2017/,ACM,Microsoft,,,,,,,,,,
9th ACM International Conference on Web Search and Data Mining,2016,WSDM 2016,WSDM,22-Feb-2016,25/2/2016,368,67,18.2%,San Francisco,California,USA,Web,Conference,www.wsdm-conference.org/2016/,ACM,GOOGLE,,,,,,,,,,
8th ACM International Conference on Web Search and Data Mining,2015,WSDM 2015,WSDM,31-Jan-2015,06/02/2015,238,39,16.4%,Shanghai,,China,Web,Conference,www.wsdm-conference.org/2015/,ACM,GOOGLE,,,,,,,,,,
7th ACM International Conference on Web Search and Data Mining,2014,WSDM 2014,WSDM,24-Feb-2014,28/2/2014,355,64,18.0%,New York,,USA,Web,Conference,www.wsdm-conference.org/2014/,ACM,GOOGLE,,,,,,,,,,
6th ACM International Conference on Web Search and Data Mining,2013,WSDM 2013,WSDM,4-Feb-2013,8/2/2013,387,73,18.9%,Rome,,Italy,Web,Conference,www.wsdm2013.org/,ACM,Microsoft,,,,,,,,,,
5th ACM International Conference on Web Search and Data Mining,2012,WSDM 2012,WSDM,8-Feb-2012,12/2/2012,362,75,20.7%,Seattle,Washington,USA,Web,Conference,www.wsdm2012.org/,ACM,Microsoft,,,,,,,,,,
4th ACM International Conference on Web Search and Data Mining,2011,WSDM 2011,WSDM,9-Feb-2011,12/2/2011,372,83,22.3%,Hong Kong,,China,Web,Conference,www.wsdm2011.org/,ACM,SIGIR,,,,,,,,,,
3rd ACM International Conference on Web Search and Data Mining,2010,WSDM 2010,WSDM,3-Feb-2010,6/2/2010,290,45,15.5%,New York,,USA,Web,Conference,www.wsdm-conference.org/2010/,ACM,GOOGLE,,,,,,,,,,
2nd ACM International Conference on Web Search and Data Mining,2009,WSDM 2009,WSDM,9-Feb-2009,12/02/2009,170,29,17.1%,Barcelona,,Spain,Web,Conference,www.wsdm2009.org/,ACM,GOOGLE,,,,,,,,,,
1st ACM International Conference on Web Search and Data Mining,2008,WSDM 2008,WSDM,11-Feb-2008,12/02/2008,151,24,15.9%,Stanford,California,USA,Web,Conference,videolectures.net/wsdm08_stanford/,ACM,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
